filename,dance_genre,situation,camera_id,dancer_id,music_id,choreo_id,music_tempo,X_a,Y_a,bpm_mode,bpm_median,mode_x,mode_y,median_x,median_y
gBR_sBM_cAll_d04_mBR2_ch07,gBR,sBM,cAll,d04,mBR2,ch07,100,93.0,126.8,101.0,101.0,75.0,75.0,80.0,80.0
gPO_sBM_cAll_d11_mPO1_ch01,gPO,sBM,cAll,d11,mPO1,ch01,90,133.67,90.17,91.0,93.0,137.0,137.0,137.5,137.5
gBR_sBM_cAll_d04_mBR0_ch05,gBR,sBM,cAll,d04,mBR0,ch05,80,98.8,159.4,179.0,107.5,98.0,98.0,98.0,98.0
gKR_sBM_cAll_d30_mKR5_ch01,gKR,sBM,cAll,d30,mKR5,ch01,130,152.38,122.88,67.0,160.0,179.0,179.0,163.5,163.5
gMH_sBM_cAll_d22_mMH1_ch06,gMH,sBM,cAll,d22,mMH1,ch06,90,116.67,99.67,90.0,91.0,67.0,67.0,132.5,132.5
gJS_sBM_cAll_d03_mJS3_ch09,gJS,sBM,cAll,d03,mJS3,ch09,110,128.2,93.8,118.0,121.0,118.0,118.0,134.0,134.0
gHO_sBM_cAll_d21_mHO2_ch08,gHO,sBM,cAll,d21,mHO2,ch08,120,91.0,118.8,90.0,106.0,90.0,90.0,90.0,90.0
gJB_sFM_cAll_d09_mJB0_ch15,gJB,sFM,cAll,d09,mJB0,ch15,80,129.6,112.2,92.0,112.5,113.0,113.0,113.0,113.0
gLO_sBM_cAll_d15_mLO4_ch09,gLO,sBM,cAll,d15,mLO4,ch09,120,107.8,115.2,117.0,106.0,89.0,89.0,96.0,96.0
gWA_sFM_cAll_d25_mWA0_ch01,gWA,sFM,cAll,d25,mWA0,ch01,80,107.8,162.2,160.0,148.5,82.0,82.0,102.0,102.0
gWA_sBM_cAll_d27_mWA5_ch01,gWA,sBM,cAll,d27,mWA5,ch01,130,98.62,119.0,143.0,131.5,143.0,143.0,75.5,75.5
gWA_sBM_cAll_d25_mWA0_ch03,gWA,sBM,cAll,d25,mWA0,ch03,80,97.2,130.8,115.0,109.0,77.0,77.0,99.0,99.0
gLH_sFM_cAll_d16_mLH5_ch06,gLH,sFM,cAll,d16,mLH5,ch06,130,148.6,123.8,113.0,127.5,121.0,121.0,159.0,159.0
gBR_sBM_cAll_d04_mBR1_ch06,gBR,sBM,cAll,d04,mBR1,ch06,90,83.0,106.33,70.0,88.5,70.0,70.0,71.0,71.0
gLH_sBM_cAll_d16_mLH0_ch03,gLH,sBM,cAll,d16,mLH0,ch03,80,84.6,96.4,81.0,81.5,82.0,82.0,82.0,82.0
gMH_sBM_cAll_d23_mMH5_ch10,gMH,sBM,cAll,d23,mMH5,ch10,130,118.0,118.25,119.0,118.5,119.0,119.0,118.5,118.5
gKR_sFM_cAll_d28_mKR2_ch03,gKR,sFM,cAll,d28,mKR2,ch03,100,112.4,112.6,86.0,103.5,90.0,90.0,96.0,96.0
gPO_sBM_cAll_d10_mPO2_ch05,gPO,sBM,cAll,d10,mPO2,ch05,100,129.6,110.4,156.0,130.5,65.0,65.0,136.0,136.0
gWA_sBM_cAll_d26_mWA5_ch01,gWA,sBM,cAll,d26,mWA5,ch01,130,134.38,135.62,130.0,133.0,130.0,130.0,139.5,139.5
gLO_sBM_cAll_d14_mLO4_ch10,gLO,sBM,cAll,d14,mLO4,ch10,120,95.6,119.4,60.0,116.5,60.0,60.0,64.0,64.0
gLH_sBM_cAll_d18_mLH3_ch03,gLH,sBM,cAll,d18,mLH3,ch03,110,118.4,113.0,112.0,112.0,86.0,86.0,86.0,86.0
gJS_sBM_cAll_d03_mJS4_ch04,gJS,sBM,cAll,d03,mJS4,ch04,120,98.4,141.8,146.0,137.0,79.0,79.0,91.0,91.0
gBR_sFM_cAll_d06_mBR4_ch18,gBR,sFM,cAll,d06,mBR4,ch18,120,98.2,118.4,86.0,111.0,86.0,86.0,106.0,106.0
gPO_sBM_cAll_d10_mPO0_ch01,gPO,sBM,cAll,d10,mPO0,ch01,80,77.0,80.4,80.0,80.0,80.0,80.0,79.0,79.0
gLO_sBM_cAll_d14_mLO0_ch02,gLO,sBM,cAll,d14,mLO0,ch02,80,128.6,117.6,115.0,132.0,115.0,115.0,129.0,129.0
gBR_sBM_cAll_d05_mBR4_ch01,gBR,sBM,cAll,d05,mBR4,ch01,120,62.0,122.4,61.0,91.0,61.0,61.0,62.0,62.0
gLH_sBM_cAll_d17_mLH5_ch02,gLH,sBM,cAll,d17,mLH5,ch02,130,113.88,103.12,65.0,115.5,97.0,97.0,102.5,102.5
gLO_sBM_cAll_d15_mLO4_ch08,gLO,sBM,cAll,d15,mLO4,ch08,120,131.2,142.0,120.0,133.5,120.0,120.0,122.0,122.0
gLH_sBM_cAll_d17_mLH1_ch09,gLH,sBM,cAll,d17,mLH1,ch09,90,109.17,90.33,90.0,97.5,100.0,100.0,107.0,107.0
gPO_sBM_cAll_d10_mPO1_ch03,gPO,sBM,cAll,d10,mPO1,ch03,90,90.0,123.67,86.0,91.5,86.0,86.0,86.5,86.5
gJB_sBM_cAll_d08_mJB4_ch07,gJB,sBM,cAll,d08,mJB4,ch07,120,176.6,149.4,150.0,162.5,179.0,179.0,178.0,178.0
gPO_sFM_cAll_d11_mPO0_ch08,gPO,sFM,cAll,d11,mPO0,ch08,80,124.2,130.8,84.0,124.5,84.0,84.0,115.0,115.0
gLO_sFM_cAll_d15_mLO5_ch20,gLO,sFM,cAll,d15,mLO5,ch20,130,149.2,146.2,120.0,160.0,120.0,120.0,161.0,161.0
gBR_sBM_cAll_d04_mBR2_ch01,gBR,sBM,cAll,d04,mBR2,ch01,100,129.0,100.0,101.0,112.5,126.0,126.0,126.0,126.0
gMH_sBM_cAll_d22_mMH2_ch06,gMH,sBM,cAll,d22,mMH2,ch06,100,105.0,100.2,98.0,101.0,68.0,68.0,124.0,124.0
gJS_sBM_cAll_d03_mJS5_ch01,gJS,sBM,cAll,d03,mJS5,ch01,130,125.38,82.88,98.0,98.0,98.0,98.0,122.0,122.0
gLO_sBM_cAll_d14_mLO4_ch01,gLO,sBM,cAll,d14,mLO4,ch01,120,110.0,121.6,67.0,119.0,67.0,67.0,108.0,108.0
gJB_sBM_cAll_d08_mJB4_ch09,gJB,sBM,cAll,d08,mJB4,ch09,120,118.6,96.8,125.0,117.0,125.0,125.0,125.0,125.0
gMH_sBM_cAll_d23_mMH4_ch06,gMH,sBM,cAll,d23,mMH4,ch06,120,75.8,120.6,70.0,99.5,70.0,70.0,77.0,77.0
gLO_sBM_cAll_d13_mLO1_ch05,gLO,sBM,cAll,d13,mLO1,ch05,90,89.0,89.5,89.0,89.0,89.0,89.0,89.0,89.0
gJB_sBM_cAll_d07_mJB2_ch01,gJB,sBM,cAll,d07,mJB2,ch01,100,108.6,101.0,99.0,103.5,112.0,112.0,109.0,109.0
gJS_sBM_cAll_d02_mJS4_ch05,gJS,sBM,cAll,d02,mJS4,ch05,120,142.4,149.6,132.0,144.0,135.0,135.0,142.0,142.0
gHO_sFM_cAll_d19_mHO4_ch05,gHO,sFM,cAll,d19,mHO4,ch05,130,115.6,129.6,130.0,129.0,121.0,121.0,121.0,121.0
gKR_sBM_cAll_d28_mKR2_ch02,gKR,sBM,cAll,d28,mKR2,ch02,100,151.2,97.6,151.0,125.5,151.0,151.0,151.0,151.0
gLO_sBM_cAll_d13_mLO2_ch10,gLO,sBM,cAll,d13,mLO2,ch10,100,154.2,113.8,123.0,136.0,148.0,148.0,150.0,150.0
gJB_sBM_cAll_d09_mJB2_ch09,gJB,sBM,cAll,d09,mJB2,ch09,100,117.4,115.8,84.0,104.0,95.0,95.0,110.0,110.0
gLO_sBM_cAll_d15_mLO5_ch06,gLO,sBM,cAll,d15,mLO5,ch06,130,105.25,163.5,164.0,162.0,96.0,96.0,97.0,97.0
gLO_sBM_cAll_d15_mLO3_ch04,gLO,sBM,cAll,d15,mLO3,ch04,110,116.8,133.8,95.0,121.5,99.0,99.0,121.0,121.0
gKR_sBM_cAll_d28_mKR0_ch02,gKR,sBM,cAll,d28,mKR0,ch02,80,145.6,122.0,120.0,124.0,159.0,159.0,159.0,159.0
gKR_sBM_cAll_d28_mKR2_ch09,gKR,sBM,cAll,d28,mKR2,ch09,100,117.4,100.0,99.0,101.0,125.0,125.0,123.0,123.0
gHO_sBM_cAll_d21_mHO4_ch02,gHO,sBM,cAll,d21,mHO4,ch02,130,124.88,128.5,127.0,127.0,66.0,66.0,126.0,126.0
gJB_sBM_cAll_d08_mJB1_ch10,gJB,sBM,cAll,d08,mJB1,ch10,90,142.67,109.67,108.0,113.0,74.0,74.0,175.5,175.5
gKR_sBM_cAll_d30_mKR4_ch04,gKR,sBM,cAll,d30,mKR4,ch04,120,89.2,85.4,60.0,89.5,90.0,90.0,90.0,90.0
gPO_sBM_cAll_d12_mPO5_ch10,gPO,sBM,cAll,d12,mPO5,ch10,130,123.62,139.88,147.0,142.0,117.0,117.0,117.0,117.0
gLO_sBM_cAll_d13_mLO3_ch06,gLO,sBM,cAll,d13,mLO3,ch06,110,136.8,100.4,137.0,133.0,137.0,137.0,137.0,137.0
gLH_sBM_cAll_d16_mLH2_ch06,gLH,sBM,cAll,d16,mLH2,ch06,100,136.6,101.6,169.0,102.5,169.0,169.0,167.0,167.0
gLH_sBM_cAll_d16_mLH1_ch10,gLH,sBM,cAll,d16,mLH1,ch10,90,99.17,90.67,91.0,91.5,88.0,88.0,92.5,92.5
gBR_sBM_cAll_d04_mBR1_ch01,gBR,sBM,cAll,d04,mBR1,ch01,90,115.83,89.67,91.0,91.0,138.0,138.0,115.5,115.5
gWA_sFM_cAll_d27_mWA0_ch15,gWA,sFM,cAll,d27,mWA0,ch15,80,127.8,110.4,108.0,108.0,108.0,108.0,136.0,136.0
gLH_sBM_cAll_d18_mLH5_ch06,gLH,sBM,cAll,d18,mLH5,ch06,130,115.38,134.5,129.0,130.5,96.0,96.0,117.0,117.0
gHO_sBM_cAll_d21_mHO3_ch09,gHO,sBM,cAll,d21,mHO3,ch09,125,93.25,125.38,62.0,124.5,62.0,62.0,93.0,93.0
gJB_sBM_cAll_d08_mJB1_ch05,gJB,sBM,cAll,d08,mJB1,ch05,90,145.33,165.5,165.0,165.0,165.0,165.0,164.5,164.5
gHO_sBM_cAll_d20_mHO1_ch04,gHO,sBM,cAll,d20,mHO1,ch04,115,114.6,115.0,115.0,115.0,115.0,115.0,115.0,115.0
gLH_sBM_cAll_d16_mLH3_ch06,gLH,sBM,cAll,d16,mLH3,ch06,110,103.4,125.4,110.0,110.0,93.0,93.0,107.0,107.0
gWA_sBM_cAll_d26_mWA4_ch09,gWA,sBM,cAll,d26,mWA4,ch09,120,141.4,116.4,111.0,127.0,129.0,129.0,143.0,143.0
gMH_sBM_cAll_d23_mMH0_ch08,gMH,sBM,cAll,d23,mMH0,ch08,80,80.4,132.0,80.0,95.0,80.0,80.0,80.0,80.0
gLO_sBM_cAll_d14_mLO0_ch03,gLO,sBM,cAll,d14,mLO0,ch03,80,100.8,117.0,80.0,85.5,80.0,80.0,82.0,82.0
gBR_sBM_cAll_d05_mBR0_ch05,gBR,sBM,cAll,d05,mBR0,ch05,80,112.6,110.6,81.0,81.5,81.0,81.0,81.0,81.0
gPO_sBM_cAll_d12_mPO2_ch04,gPO,sBM,cAll,d12,mPO2,ch04,100,86.2,115.6,87.0,94.5,87.0,87.0,87.0,87.0
gLH_sBM_cAll_d18_mLH2_ch03,gLH,sBM,cAll,d18,mLH2,ch03,100,88.4,172.8,172.0,132.0,80.0,80.0,87.0,87.0
gKR_sBM_cAll_d29_mKR1_ch02,gKR,sBM,cAll,d29,mKR1,ch02,90,112.33,91.5,91.0,91.5,100.0,100.0,100.0,100.0
gJB_sBM_cAll_d09_mJB2_ch01,gJB,sBM,cAll,d09,mJB2,ch01,100,117.2,168.2,78.0,162.5,78.0,78.0,86.0,86.0
gMH_sFM_cAll_d23_mMH2_ch10,gMH,sFM,cAll,d23,mMH2,ch10,100,113.2,102.4,88.0,101.0,88.0,88.0,89.0,89.0
gLH_sFM_cAll_d16_mLH0_ch01,gLH,sFM,cAll,d16,mLH0,ch01,80,131.2,149.4,110.0,153.5,110.0,110.0,110.0,110.0
gKR_sBM_cAll_d30_mKR4_ch07,gKR,sBM,cAll,d30,mKR4,ch07,120,94.8,165.8,89.0,116.0,89.0,89.0,92.0,92.0
gKR_sBM_cAll_d29_mKR5_ch08,gKR,sBM,cAll,d29,mKR5,ch08,130,119.38,105.25,94.0,109.0,106.0,106.0,117.0,117.0
gJS_sBM_cAll_d02_mJS4_ch06,gJS,sBM,cAll,d02,mJS4,ch06,120,94.2,123.4,142.0,121.5,142.0,142.0,64.0,64.0
gLH_sBM_cAll_d16_mLH3_ch08,gLH,sBM,cAll,d16,mLH3,ch08,110,96.4,115.6,60.0,110.0,60.0,60.0,60.0,60.0
gPO_sBM_cAll_d12_mPO2_ch06,gPO,sBM,cAll,d12,mPO2,ch06,100,159.8,108.0,164.0,157.5,157.0,157.0,159.0,159.0
gWA_sFM_cAll_d26_mWA1_ch09,gWA,sFM,cAll,d26,mWA1,ch09,90,105.2,109.6,85.0,102.5,85.0,85.0,111.0,111.0
gPO_sBM_cAll_d12_mPO5_ch02,gPO,sBM,cAll,d12,mPO5,ch02,130,78.38,130.25,131.0,106.5,77.0,77.0,77.0,77.0
gWA_sBM_cAll_d25_mWA1_ch03,gWA,sBM,cAll,d25,mWA1,ch03,90,136.67,126.83,122.0,127.0,88.0,88.0,133.5,133.5
gLH_sBM_cAll_d17_mLH4_ch05,gLH,sBM,cAll,d17,mLH4,ch05,120,106.4,98.0,121.0,93.0,121.0,121.0,118.0,118.0
gLO_sBM_cAll_d13_mLO0_ch06,gLO,sBM,cAll,d13,mLO0,ch06,80,115.2,130.0,61.0,120.0,94.0,94.0,102.0,102.0
gPO_sBM_cAll_d11_mPO4_ch03,gPO,sBM,cAll,d11,mPO4,ch03,120,119.2,122.2,121.0,121.0,116.0,116.0,118.0,118.0
gJB_sBM_cAll_d08_mJB5_ch06,gJB,sBM,cAll,d08,mJB5,ch06,130,149.5,67.62,60.0,111.0,111.0,111.0,169.0,169.0
gWA_sBM_cAll_d26_mWA0_ch06,gWA,sBM,cAll,d26,mWA0,ch06,80,143.2,159.6,179.0,162.0,179.0,179.0,179.0,179.0
gJS_sBM_cAll_d02_mJS1_ch07,gJS,sBM,cAll,d02,mJS1,ch07,90,105.83,103.17,76.0,105.5,76.0,76.0,108.0,108.0
gKR_sBM_cAll_d28_mKR3_ch08,gKR,sBM,cAll,d28,mKR3,ch08,110,162.0,94.6,82.0,138.0,161.0,161.0,162.0,162.0
gJB_sBM_cAll_d07_mJB2_ch07,gJB,sBM,cAll,d07,mJB2,ch07,100,119.4,129.6,95.0,119.5,106.0,106.0,120.0,120.0
gJS_sBM_cAll_d01_mJS0_ch04,gJS,sBM,cAll,d01,mJS0,ch04,80,122.6,102.2,75.0,104.5,94.0,94.0,126.0,126.0
gWA_sBM_cAll_d25_mWA2_ch04,gWA,sBM,cAll,d25,mWA2,ch04,100,129.4,150.2,142.0,141.5,87.0,87.0,141.0,141.0
gWA_sBM_cAll_d27_mWA2_ch07,gWA,sBM,cAll,d27,mWA2,ch07,100,106.8,153.2,82.0,139.5,82.0,82.0,89.0,89.0
gLO_sBM_cAll_d14_mLO1_ch02,gLO,sBM,cAll,d14,mLO1,ch02,90,125.83,122.17,121.0,129.5,121.0,121.0,125.0,125.0
gMH_sBM_cAll_d22_mMH3_ch09,gMH,sBM,cAll,d22,mMH3,ch09,110,107.2,109.2,110.0,109.5,111.0,111.0,110.0,110.0
gLH_sBM_cAll_d18_mLH2_ch04,gLH,sBM,cAll,d18,mLH2,ch04,100,103.4,101.4,101.0,100.5,78.0,78.0,95.0,95.0
gJB_sBM_cAll_d07_mJB1_ch08,gJB,sBM,cAll,d07,mJB1,ch08,90,118.83,96.5,99.0,99.0,149.0,149.0,130.5,130.5
gPO_sBM_cAll_d10_mPO3_ch02,gPO,sBM,cAll,d10,mPO3,ch02,110,91.2,111.0,71.0,109.5,71.0,71.0,71.0,71.0
gMH_sBM_cAll_d24_mMH3_ch07,gMH,sBM,cAll,d24,mMH3,ch07,110,126.0,109.2,111.0,110.5,174.0,174.0,108.0,108.0
gHO_sFM_cAll_d21_mHO4_ch19,gHO,sFM,cAll,d21,mHO4,ch19,130,122.2,106.0,91.0,118.5,117.0,117.0,123.0,123.0
gHO_sBM_cAll_d20_mHO5_ch06,gHO,sBM,cAll,d20,mHO5,ch06,135,133.88,133.0,133.0,133.0,133.0,133.0,134.0,134.0
gKR_sFM_cAll_d29_mKR3_ch11,gKR,sFM,cAll,d29,mKR3,ch11,110,115.8,118.0,132.0,115.0,90.0,90.0,119.0,119.0
gLO_sBM_cAll_d15_mLO4_ch02,gLO,sBM,cAll,d15,mLO4,ch02,120,105.0,128.4,97.0,112.5,84.0,84.0,111.0,111.0
gHO_sBM_cAll_d19_mHO1_ch01,gHO,sBM,cAll,d19,mHO1,ch01,115,115.4,104.0,116.0,115.5,116.0,116.0,116.0,116.0
gMH_sBM_cAll_d22_mMH1_ch05,gMH,sBM,cAll,d22,mMH1,ch05,90,89.5,119.17,89.0,90.0,89.0,89.0,89.0,89.0
gJB_sFM_cAll_d07_mJB5_ch06,gJB,sFM,cAll,d07,mJB5,ch06,130,150.4,125.6,147.0,148.5,147.0,147.0,148.0,148.0
gWA_sBM_cAll_d26_mWA4_ch10,gWA,sBM,cAll,d26,mWA4,ch10,120,125.4,137.4,156.0,127.0,106.0,106.0,114.0,114.0
gLH_sBM_cAll_d18_mLH5_ch09,gLH,sBM,cAll,d18,mLH5,ch09,130,112.88,131.12,131.0,131.0,87.0,87.0,97.0,97.0
gWA_sBM_cAll_d27_mWA2_ch02,gWA,sBM,cAll,d27,mWA2,ch02,100,112.6,132.2,119.0,119.5,119.0,119.0,119.0,119.0
gKR_sBM_cAll_d28_mKR3_ch09,gKR,sBM,cAll,d28,mKR3,ch09,110,132.4,99.0,83.0,120.5,101.0,101.0,124.0,124.0
gWA_sBM_cAll_d25_mWA2_ch07,gWA,sBM,cAll,d25,mWA2,ch07,100,88.8,121.2,98.0,109.0,98.0,98.0,97.0,97.0
gBR_sFM_cAll_d04_mBR0_ch01,gBR,sFM,cAll,d04,mBR0,ch01,80,101.6,112.8,80.0,100.5,116.0,116.0,116.0,116.0
gJS_sBM_cAll_d02_mJS4_ch10,gJS,sBM,cAll,d02,mJS4,ch10,120,86.0,115.8,73.0,91.0,73.0,73.0,78.0,78.0
gWA_sBM_cAll_d25_mWA0_ch01,gWA,sBM,cAll,d25,mWA0,ch01,80,117.8,111.2,135.0,111.0,88.0,88.0,127.0,127.0
gLO_sBM_cAll_d14_mLO5_ch10,gLO,sBM,cAll,d14,mLO5,ch10,130,65.0,131.0,66.0,98.0,66.0,66.0,65.5,65.5
gLH_sFM_cAll_d16_mLH4_ch05,gLH,sFM,cAll,d16,mLH4,ch05,120,103.4,123.8,98.0,116.5,98.0,98.0,98.0,98.0
gKR_sBM_cAll_d29_mKR0_ch04,gKR,sBM,cAll,d29,mKR0,ch04,80,161.4,131.2,114.0,146.0,137.0,137.0,173.0,173.0
gLO_sBM_cAll_d13_mLO1_ch07,gLO,sBM,cAll,d13,mLO1,ch07,90,87.67,118.17,89.0,99.0,89.0,89.0,88.5,88.5
gPO_sBM_cAll_d12_mPO3_ch09,gPO,sBM,cAll,d12,mPO3,ch09,110,85.0,116.8,81.0,97.5,81.0,81.0,85.0,85.0
gPO_sFM_cAll_d12_mPO5_ch21,gPO,sFM,cAll,d12,mPO5,ch21,130,110.8,140.4,72.0,131.0,72.0,72.0,128.0,128.0
gJB_sBM_cAll_d08_mJB1_ch06,gJB,sBM,cAll,d08,mJB1,ch06,90,109.5,139.0,142.0,142.0,142.0,142.0,98.0,98.0
gJS_sBM_cAll_d01_mJS3_ch01,gJS,sBM,cAll,d01,mJS3,ch01,110,130.2,129.8,150.0,140.0,150.0,150.0,130.0,130.0
gJB_sBM_cAll_d08_mJB0_ch06,gJB,sBM,cAll,d08,mJB0,ch06,80,127.8,155.2,82.0,149.0,83.0,83.0,131.0,131.0
gLO_sBM_cAll_d13_mLO0_ch04,gLO,sBM,cAll,d13,mLO0,ch04,80,140.8,101.0,139.0,139.0,139.0,139.0,140.0,140.0
gMH_sBM_cAll_d22_mMH1_ch08,gMH,sBM,cAll,d22,mMH1,ch08,90,90.0,134.0,90.0,90.5,90.0,90.0,90.0,90.0
gMH_sBM_cAll_d23_mMH0_ch03,gMH,sBM,cAll,d23,mMH0,ch03,80,87.6,80.0,80.0,80.0,80.0,80.0,82.0,82.0
gBR_sBM_cAll_d05_mBR1_ch02,gBR,sBM,cAll,d05,mBR1,ch02,90,149.0,135.5,179.0,135.5,179.0,179.0,179.0,179.0
gWA_sBM_cAll_d26_mWA1_ch10,gWA,sBM,cAll,d26,mWA1,ch10,90,136.5,109.0,89.0,128.0,87.0,87.0,140.5,140.5
gLH_sBM_cAll_d18_mLH4_ch10,gLH,sBM,cAll,d18,mLH4,ch10,120,135.6,105.0,76.0,115.5,92.0,92.0,131.0,131.0
gLO_sBM_cAll_d15_mLO5_ch07,gLO,sBM,cAll,d15,mLO5,ch07,130,141.12,145.38,126.0,140.0,126.0,126.0,139.0,139.0
gLO_sBM_cAll_d14_mLO1_ch09,gLO,sBM,cAll,d14,mLO1,ch09,90,128.67,137.17,135.0,135.0,115.0,115.0,129.5,129.5
gJB_sBM_cAll_d07_mJB3_ch01,gJB,sBM,cAll,d07,mJB3,ch01,110,119.0,136.2,105.0,117.5,113.0,113.0,121.0,121.0
gPO_sFM_cAll_d11_mPO2_ch10,gPO,sFM,cAll,d11,mPO2,ch10,100,92.6,100.8,79.0,101.0,79.0,79.0,100.0,100.0
gJS_sBM_cAll_d03_mJS2_ch02,gJS,sBM,cAll,d03,mJS2,ch02,100,136.0,153.6,151.0,151.0,109.0,109.0,148.0,148.0
gPO_sFM_cAll_d11_mPO5_ch13,gPO,sFM,cAll,d11,mPO5,ch13,130,115.2,121.0,144.0,122.5,86.0,86.0,124.0,124.0
gBR_sFM_cAll_d05_mBR3_ch10,gBR,sFM,cAll,d05,mBR3,ch10,110,88.0,109.0,77.0,105.5,77.0,77.0,89.0,89.0
gMH_sBM_cAll_d24_mMH5_ch07,gMH,sBM,cAll,d24,mMH5,ch07,130,102.38,130.0,66.0,120.5,66.0,66.0,113.5,113.5
gMH_sFM_cAll_d23_mMH5_ch13,gMH,sFM,cAll,d23,mMH5,ch13,130,135.8,123.2,130.0,130.5,150.0,150.0,150.0,150.0
gHO_sBM_cAll_d20_mHO4_ch02,gHO,sBM,cAll,d20,mHO4,ch02,130,107.75,119.5,127.0,127.0,76.0,76.0,126.5,126.5
gKR_sFM_cAll_d28_mKR3_ch04,gKR,sFM,cAll,d28,mKR3,ch04,110,133.2,95.2,97.0,108.5,120.0,120.0,123.0,123.0
gBR_sBM_cAll_d06_mBR4_ch09,gBR,sBM,cAll,d06,mBR4,ch09,120,116.6,110.6,119.0,117.0,119.0,119.0,116.0,116.0
gWA_sBM_cAll_d25_mWA0_ch08,gWA,sBM,cAll,d25,mWA0,ch08,80,91.0,125.6,78.0,90.5,77.0,77.0,79.0,79.0
gKR_sBM_cAll_d28_mKR0_ch09,gKR,sBM,cAll,d28,mKR0,ch09,80,137.4,113.4,102.0,121.0,102.0,102.0,160.0,160.0
gJS_sBM_cAll_d02_mJS4_ch04,gJS,sBM,cAll,d02,mJS4,ch04,120,115.2,115.6,73.0,103.0,81.0,81.0,104.0,104.0
